                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 0.3395,                0.23078,                0.87941,                0.98934,                0.98338,                0.99089,                0.85746,                0.65083,                 0.2729,                0.93156,               0.005875,               0.005875,               0.005875
                    127,                0.33999,                0.23002,                0.87559,                0.98964,                0.98339,                0.99094,                0.85749,                 0.6508,                0.27266,                0.93145,               0.005842,               0.005842,               0.005842
                    128,                0.33664,                0.22597,                0.87653,                0.98969,                0.98338,                0.99094,                0.85698,                0.65064,                0.27261,                0.93128,               0.005809,               0.005809,               0.005809
                    129,                0.33871,                0.22811,                0.87761,                0.98967,                0.98339,                0.99095,                0.85738,                0.65053,                0.27248,                0.93129,               0.005776,               0.005776,               0.005776
                    130,                0.33975,                0.22656,                0.87888,                0.98926,                0.98273,                0.99082,                0.85844,                0.65017,                0.27226,                0.93123,               0.005743,               0.005743,               0.005743
                    131,                0.34093,                0.22663,                0.87804,                0.98876,                0.98274,                0.99083,                0.85778,                0.65004,                0.27195,                0.93144,                0.00571,                0.00571,                0.00571
                    132,                 0.3352,                0.22202,                0.87692,                0.98848,                0.98282,                 0.9908,                0.85802,                0.64973,                0.27179,                0.93146,               0.005677,               0.005677,               0.005677
                    133,                0.33276,                0.22392,                0.87537,                0.98836,                 0.9828,                 0.9908,                0.85798,                0.64975,                0.27155,                0.93175,               0.005644,               0.005644,               0.005644
                    134,                0.33223,                0.22159,                0.87331,                0.98839,                0.98283,                0.99082,                 0.8575,                0.64961,                0.27106,                0.93175,               0.005611,               0.005611,               0.005611
                    135,                  0.332,                0.22369,                0.87597,                0.98832,                0.98284,                0.99084,                0.85825,                0.64954,                0.27096,                0.93194,               0.005578,               0.005578,               0.005578
                    136,                  0.331,                0.22418,                0.87411,                 0.9884,                0.98279,                0.99084,                 0.8583,                0.64941,                0.27114,                0.93189,               0.005545,               0.005545,               0.005545
                    137,                0.32593,                 0.2216,                0.87021,                0.98827,                 0.9828,                0.99082,                0.85802,                0.64944,                0.27134,                0.93178,               0.005512,               0.005512,               0.005512
                    138,                0.33061,                0.22484,                0.87506,                0.98834,                0.98286,                0.99083,                0.85798,                 0.6492,                0.27113,                0.93174,               0.005479,               0.005479,               0.005479
                    139,                0.33319,                0.22535,                0.87464,                0.98837,                0.98288,                0.99084,                0.85871,                0.64903,                0.27093,                0.93177,               0.005446,               0.005446,               0.005446
                    140,                0.32918,                0.22274,                0.87552,                0.98843,                0.98289,                0.99084,                0.85768,                  0.649,                0.27087,                 0.9319,               0.005413,               0.005413,               0.005413
                    141,                0.33281,                0.22375,                 0.8763,                0.98854,                0.98285,                0.99083,                 0.8582,                0.64885,                0.27066,                0.93175,                0.00538,                0.00538,                0.00538
                    142,                   0.33,                0.22189,                0.87258,                 0.9886,                0.98285,                0.99082,                0.85854,                0.64887,                0.27082,                0.93174,               0.005347,               0.005347,               0.005347
                    143,                 0.3269,                 0.2217,                0.87173,                0.98842,                0.98293,                 0.9908,                0.85821,                0.64877,                 0.2707,                0.93167,               0.005314,               0.005314,               0.005314
                    144,                  0.327,                0.21843,                0.87276,                0.98832,                0.98301,                0.99079,                0.85857,                0.64853,                0.27061,                0.93159,               0.005281,               0.005281,               0.005281
                    145,                0.32656,                0.22011,                0.87364,                0.98858,                0.98297,                0.99076,                0.85827,                0.64839,                0.27052,                0.93155,               0.005248,               0.005248,               0.005248
                    146,                0.32947,                0.22345,                0.87579,                0.98867,                0.98296,                0.99079,                0.85862,                0.64852,                0.27057,                0.93163,               0.005215,               0.005215,               0.005215
                    147,                0.33003,                0.22089,                0.87462,                0.98879,                0.98296,                0.99077,                0.85855,                0.64832,                0.27055,                0.93164,               0.005182,               0.005182,               0.005182
                    148,                0.32141,                0.21599,                0.87277,                0.98889,                0.98297,                0.99014,                0.85841,                0.64836,                0.27068,                0.93182,               0.005149,               0.005149,               0.005149
                    149,                0.32099,                0.21596,                0.87213,                0.98896,                0.98302,                0.99017,                 0.8582,                0.64807,                0.27043,                0.93149,               0.005116,               0.005116,               0.005116
                    150,                0.32371,                0.21752,                 0.8743,                0.98903,                0.98303,                0.99038,                0.85872,                0.64816,                0.27016,                0.93142,               0.005083,               0.005083,               0.005083
                    151,                 0.3229,                0.21722,                0.87279,                0.98903,                0.98311,                0.99021,                0.85874,                0.64798,                   0.27,                0.93118,                0.00505,                0.00505,                0.00505
                    152,                0.32237,                0.21579,                0.87157,                0.98911,                0.98306,                0.99016,                0.85852,                0.64807,                0.27044,                0.93122,               0.005017,               0.005017,               0.005017
                    153,                0.32312,                0.21915,                0.87282,                0.98919,                0.98292,                0.99033,                0.85858,                0.64801,                0.27043,                 0.9313,               0.004984,               0.004984,               0.004984
                    154,                0.32381,                 0.2191,                0.87225,                0.98915,                0.98264,                0.99023,                0.85857,                0.64824,                0.27006,                0.93135,               0.004951,               0.004951,               0.004951
                    155,                0.31943,                0.21568,                0.87043,                0.98914,                0.98265,                0.99012,                0.85888,                0.64836,                0.26958,                0.93129,               0.004918,               0.004918,               0.004918
                    156,                0.31743,                0.21383,                0.86892,                0.98911,                0.98302,                0.99012,                0.85877,                0.64824,                0.26987,                0.93129,               0.004885,               0.004885,               0.004885
                    157,                0.32012,                0.21364,                0.87255,                0.98913,                0.98306,                0.99021,                0.85851,                 0.6483,                0.27018,                 0.9314,               0.004852,               0.004852,               0.004852
                    158,                0.31803,                0.21599,                0.87169,                0.98918,                0.98319,                0.99023,                0.85898,                0.64828,                0.27015,                0.93159,               0.004819,               0.004819,               0.004819
                    159,                0.31746,                0.21218,                0.86935,                0.98916,                0.98327,                0.99022,                0.85905,                 0.6479,                 0.2698,                0.93154,               0.004786,               0.004786,               0.004786
                    160,                 0.3159,                0.21354,                0.87226,                0.98911,                0.98333,                0.99021,                0.85963,                 0.6478,                0.26986,                0.93155,               0.004753,               0.004753,               0.004753
