                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.46554,                0.29102,                0.90987,                0.98965,                0.98156,                0.99044,                0.83824,                0.70445,                 0.3167,                0.95938,               0.005611,               0.005611,               0.005611
                    135,                0.47733,                0.30133,                0.91781,                0.98928,                  0.983,                0.99068,                0.83991,                0.70077,                0.31543,                0.96233,               0.005578,               0.005578,               0.005578
                    136,                0.47656,                0.30157,                0.91696,                0.98572,                0.98643,                0.98971,                0.83925,                0.69612,                0.31152,                0.96062,               0.005545,               0.005545,               0.005545
                    137,                0.46574,                0.29456,                 0.9121,                0.98894,                0.97708,                0.99156,                 0.8392,                0.69833,                0.31516,                0.95769,               0.005512,               0.005512,               0.005512
                    138,                0.47166,                 0.2944,                0.91614,                0.98737,                0.97634,                0.99074,                0.83989,                0.70044,                0.31671,                0.95977,               0.005479,               0.005479,               0.005479
                    139,                 0.4638,                0.29021,                0.90951,                0.98876,                0.97818,                0.99008,                0.83788,                0.69686,                0.30982,                0.95672,               0.005446,               0.005446,               0.005446
                    140,                0.46043,                0.29388,                0.90658,                0.98814,                0.98108,                0.98979,                 0.8373,                0.69947,                0.30733,                0.96058,               0.005413,               0.005413,               0.005413
                    141,                0.46608,                0.29232,                0.91382,                0.98301,                0.98348,                0.99038,                0.83891,                0.69839,                 0.3117,                0.96123,                0.00538,                0.00538,                0.00538
                    142,                0.45294,                0.28872,                0.90418,                0.97821,                 0.9809,                0.98857,                0.84126,                0.69844,                0.31838,                0.96219,               0.005347,               0.005347,               0.005347
                    143,                 0.4552,                0.28445,                0.90636,                0.97621,                0.98395,                0.98852,                0.83923,                0.69615,                0.31792,                0.95734,               0.005314,               0.005314,               0.005314
                    144,                0.45875,                 0.2855,                0.90745,                0.98312,                0.98199,                 0.9902,                0.83953,                0.69869,                0.31148,                0.95726,               0.005281,               0.005281,               0.005281
                    145,                 0.4591,                0.28922,                0.90956,                 0.9866,                0.98362,                0.99071,                0.84167,                0.69099,                0.30863,                 0.9543,               0.005248,               0.005248,               0.005248
                    146,                0.46557,                0.29478,                 0.9153,                  0.987,                0.98305,                0.99021,                0.84119,                0.68743,                0.30512,                0.95295,               0.005215,               0.005215,               0.005215
                    147,                0.45029,                0.28523,                0.90652,                0.98222,                0.98227,                0.98902,                0.84137,                0.69346,                0.30847,                0.95618,               0.005182,               0.005182,               0.005182
                    148,                0.45812,                0.28206,                0.91006,                0.98666,                0.97334,                0.98868,                0.84043,                0.69526,                 0.3094,                0.95529,               0.005149,               0.005149,               0.005149
                    149,                0.45033,                0.27911,                 0.9002,                0.98668,                0.97808,                0.98886,                0.83626,                 0.7018,                 0.3104,                0.96108,               0.005116,               0.005116,               0.005116
                    150,                0.44945,                0.28324,                0.90536,                0.98561,                0.97877,                0.98849,                0.83823,                0.70212,                0.31375,                0.95719,               0.005083,               0.005083,               0.005083
                    151,                0.45554,                0.28706,                0.90612,                0.98731,                 0.9778,                0.98908,                0.83973,                0.69666,                0.31448,                0.95556,                0.00505,                0.00505,                0.00505
                    152,                0.45433,                0.28567,                 0.9079,                0.98474,                0.97965,                0.98952,                0.84269,                0.69025,                 0.3114,                0.95322,               0.005017,               0.005017,               0.005017
                    153,                0.44501,                0.28607,                0.90275,                0.98544,                0.97873,                0.98862,                0.84106,                0.69236,                0.31161,                 0.9581,               0.004984,               0.004984,               0.004984
                    154,                0.44765,                0.28324,                0.90271,                0.98599,                0.98047,                0.99007,                0.84216,                0.69302,                0.30735,                 0.9583,               0.004951,               0.004951,               0.004951
                    155,                0.44446,                0.27832,                0.90593,                0.98406,                0.98132,                0.98971,                 0.8443,                0.69011,                0.30578,                0.95667,               0.004918,               0.004918,               0.004918
                    156,                0.44537,                0.28241,                0.90394,                0.98511,                0.98212,                0.98874,                0.84355,                0.68768,                0.30567,                0.95493,               0.004885,               0.004885,               0.004885
                    157,                0.44343,                0.27628,                0.90146,                0.98644,                0.97911,                0.98845,                0.84202,                0.68751,                0.30705,                0.95374,               0.004852,               0.004852,               0.004852
                    158,                0.43746,                0.27723,                0.89996,                0.98747,                0.97921,                0.98757,                0.83947,                 0.6898,                 0.3088,                0.95652,               0.004819,               0.004819,               0.004819
                    159,                0.43589,                0.27654,                0.89782,                0.98733,                0.97845,                0.98864,                0.83978,                0.68789,                0.30635,                0.95407,               0.004786,               0.004786,               0.004786
